SADDR:SPORT            DADDR:DPORT            SEQ          ACK          TOTAL      MAC        IP         TCP       
10.64.60.31:443        10.208.150.159:34234   3344464612   3067457399   181        18         0          162       
10.64.60.31:443        10.208.150.159:34234   3344464646   3067458092   165        61         7          96        
10.64.60.31:443        10.208.150.159:34234   3344472411   3067458092   554        46         1          505       
10.64.60.31:443        10.208.150.159:34234   3344478026   3067458092   155        98         1          55        
10.64.60.31:443        10.208.150.159:34234   3344482634   3067458775   5054       16         6          5031      
10.64.60.31:443        10.208.150.159:34234   3344485454   3067458775   5021       37         2          4982      
10.64.60.31:443        10.208.150.159:34234   3344490409   3067458775   5099       52         1          5044      
10.64.60.31:443        10.208.150.159:34234   3344494639   3067458775   3662       38         3          3619      
10.64.60.31:443        10.208.150.159:34234   3344506822   3067458775   3647       25         1          3620      
10.64.60.31:443        10.208.150.159:53270   677930648    2391373141   3106       22         1          3082      
10.64.60.31:443        10.208.150.159:34234   3344509642   3067458775   312        144        1          165       
10.64.60.31:443        10.208.150.159:53276   1611884805   4019166662   414        138        1          274       
10.64.60.31:443        10.208.150.159:34234   3344527972   3067458775   382        115        5          261       
10.64.60.31:443        10.208.150.159:34234   3344553352   3067458775   396        18446677862643280 0          66211066665
10.64.60.31:443        10.208.150.159:34234   3344554762   3067458775   426        18446677862643280 0          66211066697
10.64.60.31:443        10.208.150.159:53270   677930804    2391373886   412        51         1          359       
10.64.60.31:443        10.208.150.159:53276   1611888901   4019166662   638        82         2          553       
10.64.60.31:443        10.208.150.159:34234   3344554954   3067458775   2162       102        3          2056      
10.64.60.31:443        10.208.150.159:34234   3344571682   3067458775   10046      144        2          9898      
10.64.60.31:443        10.208.150.159:53270   677933172    2391374581   8857       13         6          8837      
10.64.60.31:443        10.208.150.159:53270   677934582    2391374581   8887       18446677862637472 0          66211080968
10.64.60.31:443        10.208.150.159:53276   1611890058   4019166755   10000      21         2          9975      
10.64.60.31:443        10.208.150.159:53288   4172917353   2106581586   3385       55         1          3328      
10.64.60.31:443        10.208.150.159:53284   946241788    1626411200   6581       35         1          6544      
10.64.60.31:443        10.208.150.159:53270   677934908    2391375204   4721       33         5          4682      
10.64.60.31:443        10.208.150.159:53270   677938632    2391375204   4803       40         1          4761      
10.64.60.31:443        10.208.150.159:53270   677942624    2391375204   4819       39         2          4777      
10.64.60.31:443        10.208.150.159:53294   747979466    3862445527   155        16         5          133       
10.64.60.31:443        10.208.150.159:53270   677942658    2391375928   1680       43         4          1632      
10.64.60.31:443        10.208.150.159:53270   677947653    2391375928   1806       73         2          1730      
10.64.60.31:443        10.208.150.159:34234   3344591675   3067460176   11002      16         4          10980     
10.64.60.31:443        10.208.150.159:34234   3344597315   3067460176   10959      9          1          10948     
10.64.60.31:443        10.208.150.159:34234   3344598671   3067460176   11061      12         1          11047     
10.64.60.31:443        10.208.150.159:53276   1611890332   4019167479   11170      14         1          11155     
10.64.60.31:443        10.208.150.159:53276   1611891742   4019167479   10411      31         3          10376     
10.64.60.31:443        10.208.150.159:53276   1611893955   4019167479   10473      57         1          10414     
10.64.60.31:443        10.208.150.159:53276   1611899595   4019167479   10484      18446677862606228 0          66211113808
153.3.237.193:443      10.208.150.159:42154   2577594003   2998659479   325        45         1          279       
153.3.237.193:443      10.208.150.159:42146   4118561235   3571007637   2328       33         4          2289      
10.64.60.31:443        10.208.150.159:34234   3344598705   3067460809   2409       67         1          2339      
10.64.60.31:443        10.208.150.159:34234   3344606516   3067460809   2543       59         1          2482      
10.64.60.31:443        10.208.150.159:53270   677947687    2391376605   5709       20         3          5686      
10.64.60.31:443        10.208.150.159:53270   677952525    2391376605   5833       19         1          5813      
10.64.60.31:443        10.208.150.159:53288   4172922880   2106582372   2877       85         1          2790      
10.64.60.31:443        10.208.150.159:53288   4172925700   2106582372   2833       18446677862589992 0          66211122392
153.3.237.193:443      10.208.150.159:42142   3206721121   3049696281   3021       23         1          2995      
153.3.237.193:443      10.208.150.159:42154   2577599169   2998659572   2945       22         1          2921      
153.3.237.193:443      10.208.150.159:42146   4118566401   3571007730   1976       16         1          1959      
10.64.60.31:443        10.208.150.159:53284   946247315    1626411983   1330       19         6          1303      
10.64.60.31:443        10.208.150.159:53284   946248725    1626411983   1378       18446677862582464 0          66211128466
153.3.237.193:443      10.208.150.159:42142   3206726287   3049696374   2431       31         2          2398      
10.64.60.31:443        10.208.150.159:53294   747984993    3862446239   195        55         7          132       
10.64.60.31:443        10.208.150.159:53294   747999093    3862446239   442        121        12         309       
10.64.60.31:443        10.208.150.159:53294   748024473    3862446239   603        18446677862566552 0          66211143605
10.64.60.31:443        10.208.150.159:53294   748027293    3862446239   240        118        6          115       
10.64.60.31:443        10.208.150.159:53294   748052673    3862446239   276        81         4          190       
10.64.60.31:443        10.208.150.159:53294   748073373    3862446239   120        23         4          92        
